,
symbolo das empresas ,dividend Yield na media 
CMIN3.SA,12.72%
BRAP4.SA,11.20%
TAEE11.SA,8.632383911067171
CMIG4.SA,8.544910811224389
PETR4.SA,8.365762082663942
PETR3.SA,7.531012598930077
VIVT3.SA,7.475989865454035
BBSE3.SA,6.88407853050352
ELET6.SA,6.670859903591341
BBAS3.SA,6.34234177255555
CPLE6.SA,6.081028980013412
TRPL4.SA,6.0513622053213165
VBBR3.SA,6.031870026706977
SANB11.SA,5.680435763427685
ELET3.SA,5.6621686290815685
CSNA3.SA,5.6428572819677845
EGIE3.SA,5.586565153978154
VALE3.SA,5.503009159045608
PCAR3.SA,5.434107803782757
ITSA4.SA,4.920103540223654
CPFE3.SA,4.915538781328403
BRKM5.SA,4.6714415181147855
SLCE3.SA,4.644481031784414
CIEL3.SA,4.597477059879653
GOAU4.SA,4.536110026226685
MRFG3.SA,4.272010682648962
BBDC4.SA,4.22781008952346
MRVE3.SA,4.2071491565635695
BBDC3.SA,3.995222799819225
EZTC3.SA,3.9370651671208696
ITUB4.SA,3.754523199843651
RAIZ4.SA,3.6644549632018655
ENGI11.SA,3.6326165333171256
KLBN11.SA,3.602426296701524
CYRE3.SA,3.5466030221578633
GGBR4.SA,3.54044265662919
CCRO3.SA,3.5287373576269525
B3SA3.SA,3.516544757945507
ABEV3.SA,3.3621778535092703
DXCO3.SA,3.2505035452523257
FLRY3.SA,3.19005109722569
BPAC11.SA,2.7174372744954964
UGPA3.SA,2.67746073435591
TIMS3.SA,2.6093002437199964
CSAN3.SA,2.5268568067805965
JBSS3.SA,2.522005049304763
SBSP3.SA,2.5095651590376162
USIM5.SA,2.366663710365154
RECV3.SA,2.3577424556232507
ALPA4.SA,2.315224076410622
YDUQ3.SA,2.2907522549021873
VAMO3.SA,2.218908625982509
LREN3.SA,2.181165332695383
CRFB3.SA,2.1547234890729303
SMTO3.SA,2.121903613271348
BEEF3.SA,2.118531713999663
ARZZ3.SA,2.054819934530178
HYPE3.SA,1.9933650715932887
MULT3.SA,1.9667077878658472
WEGE3.SA,1.762049107275725
RDOR3.SA,1.7252962575183135
EQTL3.SA,1.6200798913152235
TOTS3.SA,1.604137243258788
IGTI11.SA,1.600837651667949
RENT3.SA,1.548935554771809
COGN3.SA,1.4260600972297695
SUZB3.SA,1.339710525852965
CVCB3.SA,1.317443937497965
ALOS3.SA,1.2073735011778433
MGLU3.SA,0.9189333096592841
VIVA3.SA,0.9131759752375911
RADL3.SA,0.8936390875076548
EMBR3.SA,0.8654682995206131
BRFS3.SA,0.7485055174862484
IRBR3.SA,0.6711842849111185
ASAI3.SA,0.6359336252706715
SOMA3.SA,0.5664794727771386
NTCO3.SA,0.4960561953186033
HAPV3.SA,0.341744821808337
PETZ3.SA,0.2978994744220969
LWSA3.SA,0.2210412167739517
RRRP3.SA,0.06078434884188085
RAIL3.SA,0.05140645080156823
PRIO3.SA,0.006258388711639786
AZUL4.SA,0.0
ENEV3.SA,0.0
Show  per pageLike what you see? Visit the data table notebook to learn more about interactive tables. ,
